2021-03-10T13:20:53.033Z [AUDIT] Token created by 'anonymous': tokenId='fd0f3f89-356c-44c1-9c2c-fea80a7b5be2', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=none, refreshable=false
2021-03-10T13:20:53.555Z [AUDIT] Token created by 'anonymous': tokenId='c3f71ee7-aaa8-4203-97a6-132cab2d8133', issuer='jfmd@01f0e39z5afy5nkms4x04pbts0', subject='jfmd@01f0e39z5afy5nkms4x04pbts0', expiry=none, refreshable=false
2021-03-10T13:20:57.993Z [AUDIT] Token created by 'jfrt@01f0e3acmpap8e1w103fzs1qqq': tokenId='98101c05-0320-4065-9671-5a1b6b1e52b3', issuer='jfrt@01f0e3acmpap8e1w103fzs1qqq', subject='jfrt@01f0e3acmpap8e1w103fzs1qqq', expiry=2561462457990, refreshable=false
2021-03-10T13:21:04.946Z [AUDIT] Token created by 'anonymous': tokenId='dbf9bb27-0023-48e1-845a-5706f7ba4f84', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-03-10T13:21:05.091Z [AUDIT] Token created by 'jffe@000': tokenId='0cac99d6-6da4-4890-b13c-fd4d4520327e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1615383065091, refreshable=false
2021-03-10T13:25:10.881Z [AUDIT] Token created by 'jffe@000': tokenId='a50b7783-140d-43a5-b7c1-8e5fa49195ad', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1615383310880, refreshable=false
2021-03-10T13:25:10.881Z [AUDIT] Token created by 'jffe@000': tokenId='fc3b390e-1549-4acc-8e14-d3858d871be3', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1615383310881, refreshable=false
2021-03-10T13:25:10.881Z [AUDIT] Token created by 'jffe@000': tokenId='71d541e6-faf0-4b9f-82be-2efba7856b3a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1615383310881, refreshable=false
2021-03-10T13:25:10.900Z [AUDIT] Token created by 'jffe@000': tokenId='69c137b5-a9f1-48ac-b1e2-799100aa5ee4', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1615383310888, refreshable=false
2021-03-10T13:26:37.714Z [AUDIT] Token created by 'jffe@000': tokenId='fe098cc1-4da0-46b5-8302-9605b743099d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615384597711, refreshable=true
2021-03-10T13:26:37.923Z [AUDIT] Token created by 'jffe@000': tokenId='e2bfff8e-932a-435e-9111-379c59c4ca2f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383397923, refreshable=false
2021-03-10T13:26:37.925Z [AUDIT] Token created by 'jffe@000': tokenId='69fe43d0-3e3c-407c-a456-f5ccc36a26bb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383397925, refreshable=false
2021-03-10T13:26:37.938Z [AUDIT] Token created by 'jffe@000': tokenId='09d6b23b-05a6-460f-8695-1ef0067e2371', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383397937, refreshable=false
2021-03-10T13:26:38.701Z [AUDIT] Token created by 'jffe@000': tokenId='28138d1a-c814-47bf-9b00-a72fb0922128', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1615383398700, refreshable=false
2021-03-10T13:30:20.309Z [AUDIT] Token created by 'anonymous': tokenId='61ed9d50-c21a-463f-bf0f-0ebf447ec6d1', issuer='jfrou@01f0e39xkd589tqtnpgeb0ntwr', subject='jfrou@01f0e39xkd589tqtnpgeb0ntwr', expiry=none, refreshable=false
2021-03-10T13:30:20.378Z [AUDIT] Token revoked by 'anonymous': tokenId='85bf13f8-5ec0-482b-8040-0b08c5592ee6', issuer='jfrou@01f0e39xkd589tqtnpgeb0ntwr', subject='jfrou@01f0e39xkd589tqtnpgeb0ntwr', expiry=none, refreshable=false
